|joey|rachel|monica|phoebe|chandler|ross|other
there|0.16684900076841128|0.12804144185142144|0.12576708092271413|0.1311237056378258|0.15152113925447255|0.15018277968749788|0.14651485187765698
is|0.12613217941035573|0.13484307940196721|0.146410717406221|0.14670767451406666|0.14506640691235373|0.1472145631956356|0.15362537915940003
nothing|0.12819593970114754|0.14002286588907753|0.17718984521030987|0.14353638928201728|0.12278770128628187|0.16577578325258582|0.12249147537858024
to|0.13823464188529483|0.14440985927393235|0.14941112619078534|0.13355126622428046|0.14532513035975303|0.14314674184753945|0.1459212342184144
tell|0.1410537255302847|0.16627299457885586|0.15685320914745296|0.140251478093936|0.13871975933924266|0.12784715950229678|0.12900167380793098
he|0.12775995267145243|0.1531010575759804|0.1493295182273874|0.17105318293039776|0.12898544052031524|0.12307730771320986|0.14669354036125687
just|0.11675963312974795|0.18687488903303426|0.1408897570875978|0.15815258797958706|0.12117945488037622|0.14465746231266835|0.13148621557698836
some|0.14763266464575617|0.1104124398612607|0.1592740509183762|0.11321582752781326|0.15249498820786433|0.16384209936805813|0.1531279294708711
guy|0.16017294262595833|0.12002803877213745|0.14809049749835407|0.16304610017466972|0.13079357569874145|0.14901133012279463|0.1288575151073443
i|0.14494200605572746|0.1593649644270859|0.13547022396198014|0.13134864928790685|0.13580589600152598|0.15236138239074776|0.1407068778750258
work|0.12179044413189091|0.13668099284580232|0.20406481873133508|0.1301027559912039|0.14916480983990915|0.12533061496846598|0.13286556349139275
with|0.14849771420500088|0.13724413477091887|0.15237481665466052|0.13147930175096734|0.15169674317907217|0.140632022297344|0.1380752671420361
cmon|0.1190316471723938|0.18335181693975558|0.08617879008177085|0.07853732469624275|0.08196799209024119|0.20983797545216204|0.24109445356743373
you|0.13444277783926284|0.1440384347387227|0.15532049113123308|0.14325477444863202|0.1326279518709414|0.1372729373830193|0.15304263258818873
are|0.12276224119455019|0.1400165394949794|0.16618787261194104|0.1316323635878374|0.14840804089480722|0.1350394533060329|0.15595348890985178
going|0.12325251754016665|0.13827479249696822|0.17485873933575213|0.13161984862271878|0.14055819621918345|0.1598084385095271|0.13162746727568375
out|0.165837894666838|0.145811821797027|0.1476729881085687|0.12512770284145283|0.15296114655618157|0.13502771650794307|0.12756072952198896
the|0.14709491338807507|0.11948339486817262|0.1489267350797118|0.13536959815584473|0.16110246326501357|0.1416841272835446|0.14633876795963766
gotta|0.24455954827995555|0.16227517000523012|0.13847067360316828|0.09424211585513169|0.09715930237171236|0.12769928619166335|0.13559390369313853
be|0.14276342469849615|0.12936232373399298|0.15139997766337607|0.13241455857005008|0.14313664915669702|0.14698965674634817|0.15393340943103945
something|0.14700491158493198|0.1458544948779369|0.17725524391511305|0.12480863843814068|0.12616662699438613|0.14488558436570106|0.1340244998237902
wrong|0.14139556135947307|0.12474019404195662|0.14308567768183478|0.16255612615873563|0.1427330899754563|0.1377196350170672|0.14776971576547637
him|0.10232082105571069|0.17716285298517492|0.16035074591838738|0.18729452723766382|0.13111008925296905|0.126367562352103|0.11539340119799113
so|0.12234453100529796|0.14695967268820262|0.14565741634737173|0.17590297883982206|0.13245720239999711|0.12801416762147105|0.14866403109783746
does|0.11414742901247041|0.1250334956532933|0.15763314776687581|0.17356475813236866|0.15429792750762653|0.13877772888505374|0.13654551304231155
have|0.11444798547229813|0.14220833065103206|0.15743442508131378|0.14659779824992902|0.15455825507787546|0.13334550751771632|0.1514076979498351
a|0.14835086756629157|0.13082924852439287|0.13813329550934572|0.14233113102541187|0.14719620448473747|0.14507334492813662|0.14808590796168383
hump|0.0|0.0|0.0|0.0|1.0|0.0|0.0
and|0.1504404487584573|0.1449078924440381|0.1352401386844387|0.16025446329638035|0.14174923868555364|0.1368962967328285|0.13051152139830338
hairpiece|0.0|0.0|0.0|0.0|1.0|0.0|0.0
wait|0.13987549030468388|0.18571948463233287|0.18934583300943597|0.17439802525383372|0.07427612695022906|0.11586650122795368|0.12051853862153071
eat|0.19189691537731055|0.10914118212697524|0.21374333737143897|0.21643415035276026|0.06098987524788833|0.09870541362151393|0.10908912590211264
chalk|0.0|0.0|0.0|0.8098290900685433|0.19017090993145674|0.0|0.0
